PLAYER,AGE,TEAM,DATE,TYPE,METHOD,EXTENSION,LENGTH,VALUE,AAV,PG,SG,SF,PF,C
Ricky Rubio,31,CLE,2022-07-06,Veteran Contract,MLE,0,3.0,18439026.0,6146342.0,1,0,0,0,0
Ja Morant,22,MEM,2022-07-06,Designated Rookie Scale Extension,Bird Exception,1,5.0,197230450.0,39446090.0,1,0,0,0,0
Zion Williamson,22,NOP,2022-07-06,Designated Rookie Scale Extension,Bird Exception,1,5.0,197230450.0,39446090.0,0,0,0,1,0
Gary Payton II,29,POR,2022-07-06,Veteran Contract,MLE,0,2.5,26145000.0,8715000.0,1,0,0,0,0
Andre Drummond,28,CHI,2022-07-06,Veteran Contract,MLE,0,1.5,6560000.0,3280000.0,0,0,0,0,1
Luguentz Dort,23,OKC,2022-07-06,Veteran Contract,Bird Exception,0,4.5,87500000.0,17500000.0,0,0,1,1,0
Delon Wright,30,WAS,2022-07-06,Veteran Contract,MLE,0,2.0,16000000.0,8000000.0,1,1,0,0,0
Kyle Anderson,28,MIN,2022-07-06,Veteran Contract,MLE,0,2.0,18000000.0,9000000.0,0,0,1,1,0
Amir Coffey,25,LAC,2022-07-06,Veteran Contract,Bird Exception,0,3.0,11000000.0,3666667.0,0,1,0,0,0
Jevon Carter,26,MIL,2022-07-06,Veteran Contract,Non-Bird Exception,0,1.5,4339943.0,2169972.0,1,0,0,0,0
Mo Bamba,24,ORL,2022-07-06,Veteran Contract,Bird Exception,0,2.0,20600000.0,10300000.0,0,0,0,0,1
Wesley Matthews,35,MIL,2022-07-06,Veteran Contract,Minimum Salary Exception,0,1.0,2905851.0,2905851.0,0,1,1,0,0
Nicolas Claxton,23,BKN,2022-07-06,Veteran Contract,Bird Exception,0,2.0,19837500.0,9918750.0,0,0,0,1,1
Lonnie Walker IV,23,LAL,2022-07-06,Veteran Contract,Taxpayer-MLE,0,1.0,6479000.0,6479000.0,0,1,0,0,0
Jae’Sean Tate,26,HOU,2022-07-06,Veteran Contract,Early-Bird Exception,0,2.5,22130434.0,7376811.0,0,0,1,0,0
Marvin Bagley III,23,DET,2022-07-06,Veteran Contract,Bird Exception,0,3.0,37500000.0,12500000.0,0,0,0,1,0
Joe Ingles,34,MIL,2022-07-06,Veteran Contract,Taxpayer-MLE,0,1.0,6479000.0,6479000.0,0,0,1,1,0
Dewayne Dedmon,32,MIA,2022-07-06,Veteran Contract,Early-Bird Exception,0,2.0,9024000.0,4512000.0,0,0,0,0,1
Chris Boucher,28,TOR,2022-07-06,Veteran Contract,Bird Exception,0,3.0,35250000.0,11750000.0,0,0,0,1,0
Tyus Jones,26,MEM,2022-07-06,Veteran Contract,Bird Exception,0,2.0,29000000.0,14500000.0,1,0,0,0,0
Danuel House Jr.,29,PHI,2022-07-06,Veteran Contract,Biannual Exception,0,1.5,8415250.0,4207625.0,0,1,1,0,0
Bobby Portis,27,MIL,2022-07-06,Veteran Contract,Early-Bird Exception,0,3.5,48578208.0,12144552.0,0,0,0,1,1
Anfernee Simons,23,POR,2022-07-06,Veteran Contract,Bird Exception,0,4.0,100000000.0,25000000.0,0,1,0,0,0
Malik Monk,24,SAC,2022-07-06,Veteran Contract,MLE,0,2.0,19418049.0,9709025.0,0,1,0,0,0
